Dataset,Num_rows,Num_rows_top75,Num_rows_bottom75,Mean_corr_q25,Mean_corr_q75,RF_Baseline_AUC,RF_Top75_AUC,RF_Bottom75_AUC,LR_Baseline_AUC,LR_Top75_AUC,LR_Bottom75_AUC
1,198,148,148,0.5974,0.7279,0.5781,0.7188,0.7188,0.7656,0.8056,0.875
2,155,116,116,0.6812,0.7862,0.8065,1.0,0.9259,0.875,1.0,0.9352
3,195,146,146,0.6102,0.8231,0.9085,0.9801,0.8765,0.8348,0.9659,0.8148
4,267,200,200,0.5348,0.6826,0.8667,1.0,0.9859,0.8864,0.9943,0.9624
5,178,133,133,0.7578,0.8872,1.0,1.0,0.9934,1.0,1.0,1.0
6,754,565,565,0.1169,0.298,0.92,0.8665,0.9098,0.6257,0.6311,0.4841
7,678,508,508,0.8611,0.9354,1.0,1.0,0.9803,0.9867,0.9959,0.9585
8,287,215,215,0.4005,0.5136,0.7418,0.7429,0.6375,0.6344,0.5852,0.5821
9,214,160,160,0.6996,0.8171,0.9976,1.0,1.0,0.9952,1.0,0.9833
10,503,377,377,0.548,0.7313,0.6618,0.6943,0.5609,0.6443,0.6744,0.5072
11,324,243,243,0.5251,0.5512,1.0,1.0,1.0,1.0,1.0,1.0
12,395,296,296,0.6012,0.7024,0.7235,0.7458,0.707,0.756,0.7691,0.6176
13,270,202,202,0.5383,0.6048,0.8983,0.9487,0.9214,0.9495,0.8974,0.931
14,286,214,214,0.3088,0.4061,0.7214,0.8156,0.5524,0.6885,0.8281,0.3929
15,294,220,220,0.4518,0.5013,0.8866,0.9392,0.875,0.9223,0.8685,0.8521
16,300,225,225,0.3368,0.41,0.9139,0.96,0.826,0.7859,0.886,0.6115
17,512,384,384,0.231,0.3015,0.8969,0.8632,0.9082,0.8556,0.8292,0.7507
18,690,517,517,0.5562,0.6013,0.9092,0.9752,0.9163,0.8786,0.9895,0.9067
19,690,517,517,0.2831,0.3847,0.5858,0.7126,0.6139,0.5201,0.6915,0.5164
20,958,718,718,0.6311,0.6898,0.9998,0.9996,0.9967,0.9967,0.9983,0.996
21,1000,750,750,0.3742,0.4455,0.8207,0.9116,0.7087,0.8092,0.9156,0.7506
22,120,90,90,0.7617,0.8753,1.0,1.0,1.0,1.0,1.0,1.0
23,120,90,90,0.6245,0.7599,1.0,1.0,1.0,1.0,1.0,1.0
24,131,98,98,0.823,0.903,0.8549,0.8182,0.1933,0.858,0.9192,0.44
25,182,136,136,0.3476,0.5284,0.2762,0.72,0.5,0.2692,0.5467,0.4694
26,208,156,156,0.5739,0.6621,0.9447,0.9235,0.8259,0.9087,0.9137,0.7085
27,267,200,200,0.739,0.8425,0.6993,0.6479,0.6057,0.6531,0.6992,0.6607
28,270,202,202,0.7919,0.8879,0.7893,0.7754,0.8862,0.8326,0.785,0.8925
29,286,214,214,0.2166,0.2691,0.7224,0.8424,0.543,0.6936,0.8217,0.5633
30,286,214,214,0.3296,0.94,0.6223,0.7188,0.7007,0.6634,0.6609,0.6546
31,294,220,220,0.8134,0.8955,0.8747,0.9042,0.5872,0.8847,0.8758,0.6589
32,295,221,221,0.1854,0.2443,0.7714,0.7273,0.6778,0.7367,0.7551,0.6578
33,306,229,229,0.5696,0.9224,0.6282,0.6875,0.5688,0.5328,0.7953,0.55
34,310,232,232,0.9171,0.9753,0.8996,0.9075,0.9129,0.9444,0.9322,0.9268
35,351,263,263,0.5337,0.6184,0.9888,0.9881,0.9949,0.8754,0.9905,0.8666
36,300,225,225,0.3218,0.8336,0.7901,0.7579,0.4423,0.6567,0.7431,0.2821
37,435,326,326,0.5985,0.658,0.5812,0.6608,0.6447,0.5092,0.6406,0.5874
38,512,384,384,0.4527,0.5767,0.878,0.8585,0.6904,0.701,0.7428,0.503
39,569,426,426,0.6697,0.7616,0.9953,0.9891,0.9825,0.9974,0.9972,0.9762
40,583,437,437,0.6502,0.7787,0.7868,0.6074,0.7916,0.8188,0.6846,0.745
41,690,517,517,0.8457,0.9218,0.9083,0.887,0.9293,0.888,0.8822,0.8968
42,690,517,517,0.535,0.7043,0.5655,0.6486,0.6971,0.5346,0.5998,0.6058
43,699,524,524,0.7531,0.8822,0.9968,0.9815,0.9921,0.9967,0.98,0.9942
44,768,576,576,0.8509,0.9546,0.8123,0.9173,0.7434,0.8147,0.9329,0.7128
45,912,684,684,0.542,0.7553,0.8603,0.8914,0.9117,0.8273,0.7986,0.8753
46,961,720,720,0.8524,0.9834,0.8515,0.7858,0.8241,0.8919,0.8454,0.807
47,1000,750,750,0.5896,0.7256,0.713,0.7347,0.5984,0.6262,0.8186,0.5954
48,1022,766,766,0.5252,0.6503,0.8333,0.8309,0.8446,0.8642,0.8112,0.894
49,1212,909,909,0.1273,0.5722,0.546,0.5964,0.5675,0.9854,0.9445,0.9802
